gsis,season,pg,base,out,age,reunion,player_move,coach_move,moved,base_av,out_av
00-0023448,2019,LB,0.5103896103896104,0.4708222811671088,36,0,0,0,1,0.8618181818181818,0.7852112676056338
00-0023448,2020,LB,0.4708222811671088,0.07934508816120907,37,1,1,0,1,0.7852112676056338,0.10614525139664804
00-0023449,2016,LB,0.9636363636363636,0.7360097323600974,34,0,0,0,0,0.9674657534246576,0.8813559322033898
00-0023449,2017,LB,0.7360097323600974,0.7244897959183674,35,0,0,0,0,0.8813559322033898,0.7633333333333333
00-0023449,2018,LB,0.7244897959183674,0.06883116883116883,36,0,0,0,1,0.7633333333333333,0.10545454545454545
00-0023459,2015,QB,0.9805825242718447,0.9514563106796117,32,0,0,0,0,0.6447368421052632,0.8666666666666667
00-0023459,2016,QB,0.9514563106796117,1.0,33,0,0,0,0,0.8666666666666667,0.7808219178082192
00-0023459,2017,QB,1.0,0.4175257731958763,34,0,0,0,0,0.7808219178082192,0.5333333333333333
00-0023459,2018,QB,0.4175257731958763,0.8413461538461539,35,0,0,0,0,0.5333333333333333,0.6081081081081081
00-0023459,2019,QB,0.8413461538461539,0.8936170212765957,36,0,0,0,0,0.6081081081081081,0.726027397260274
00-0023459,2020,QB,0.8936170212765957,0.991304347826087,37,0,0,0,0,0.726027397260274,0.8690476190476191
00-0023459,2021,QB,0.991304347826087,0.9152542372881356,38,0,0,0,0,0.8690476190476191,0.6588235294117647
00-0023459,2022,QB,0.9152542372881356,0.7801724137931034,39,1,0,1,0,0.6588235294117647,0.7558139534883721
00-0023462,2015,WR,0.875,0.5646153846153846,34,0,0,0,0,0.9765258215962441,0.8590909090909091
00-0023465,2015,TE,0.8837209302325582,0.850828729281768,33,0,0,0,0,0.9921875,0.976
00-0023494,2015,DL,0.5164271047227926,0.8642857142857143,34,0,0,0,0,,
00-0023494,2016,DL,0.8642857142857143,0.5051334702258727,35,0,0,0,0,,
00-0023496,2015,WR,0.802710843373494,0.5923076923076923,32,0,0,0,0,0.9577464788732394,0.8
00-0023496,2016,WR,0.5923076923076923,0.22644376899696048,33,0,0,0,0,0.8,0.8721461187214612
00-0023500,2015,RB,0.8416030534351145,0.9035087719298246,32,0,0,0,1,0.8546511627906976,0.8156424581005587
00-0023500,2016,RB,0.9035087719298246,0.8931451612903226,33,0,0,0,0,0.8156424581005587,0.8125
00-0023500,2017,RB,0.8931451612903226,0.8438735177865613,34,0,0,0,0,0.8125,0.6823529411764706
00-0023500,2018,RB,0.8438735177865613,0.6318897637795275,35,0,0,0,1,0.6823529411764706,0.40119760479041916
00-0023500,2019,RB,0.6318897637795275,0.5933609958506224,36,0,0,0,1,0.40119760479041916,0.21428571428571427
00-0023500,2020,RB,0.5933609958506224,0.6442307692307693,37,1,1,0,1,0.21428571428571427,0.4816753926701571
00-0023509,2015,DL,0.9476386036960985,0.4561224489795918,32,0,0,0,0,,
00-0023564,2015,RB,0.833969465648855,0.8192982456140351,32,0,0,0,0,0.29651162790697677,0.3854748603351955
00-0023564,2016,RB,0.8192982456140351,0.8084677419354839,33,0,0,0,0,0.3854748603351955,0.6306818181818182
00-0023564,2019,RB,0.468503937007874,0.14730290456431536,36,0,0,0,0,0.47005988023952094,0.125
00-0023566,2015,DL,0.5071868583162218,0.3663265306122449,33,0,0,0,0,,
00-0023579,2015,LB,0.822538860103627,0.6844155844155844,33,0,0,0,1,,
00-0023579,2016,LB,0.6844155844155844,0.354014598540146,34,0,0,0,0,,
00-0023624,2015,DL,0.5646817248459959,0.07653061224489796,32,0,0,0,1,,
00-0023645,2015,QB,0.19902912621359223,0.06796116504854369,32,0,0,0,0,0.35526315789473684,0.13333333333333333
00-0023645,2016,QB,0.06796116504854369,0.1377551020408163,33,0,0,0,0,0.13333333333333333,0.2602739726027397
00-0023645,2017,QB,0.1377551020408163,0.010309278350515464,34,0,0,0,0,0.2602739726027397,0.05333333333333334
00-0023662,2016,QB,0.2961165048543689,0.11734693877551021,34,0,0,0,1,0.4266666666666667,0.3287671232876712
00-0023682,2015,QB,0.587378640776699,0.7912621359223301,33,0,0,0,1,0.6052631578947368,0.68
00-0023682,2016,QB,0.7912621359223301,0.42346938775510207,34,0,0,0,0,0.68,0.5205479452054794
00-0023682,2017,QB,0.42346938775510207,0.28350515463917525,35,0,0,0,1,0.5205479452054794,0.41333333333333333
00-0023682,2018,QB,0.28350515463917525,0.46634615384615385,36,0,0,0,0,0.41333333333333333,0.44594594594594594
00-0023682,2019,QB,0.46634615384615385,0.6436170212765957,37,0,0,0,1,0.44594594594594594,0.4794520547945205
00-0023682,2020,QB,0.6436170212765957,0.5173913043478261,38,1,0,1,0,0.4794520547945205,0.5357142857142857
00-0023750,2015,DL,0.9702258726899384,0.5561224489795918,30,0,0,0,0,,
00-0023750,2016,DL,0.5561224489795918,0.4527720739219713,31,0,0,0,1,,
00-0023921,2015,WR,0.5918674698795181,0.24153846153846154,31,0,0,0,1,,
00-0023954,2015,DL,0.13039014373716631,0.09489795918367347,31,0,0,0,1,,
00-0024030,2015,DL,0.660164271047228,0.7663265306122449,31,0,0,0,0,,
